,pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough,predicted,probability space %,calibration logreg probability space %,calibration isoreg probability space %
2308,2019-03-09 15:30:44,2019-03-09 15:57:03,1,3.73,18.5,0.0,0.0,21.8,yellow,East Village,Lincoln Square East,Manhattan,Manhattan,1,85.72,90.22,93.78
1167,2019-03-01 19:26:56,2019-03-01 19:34:22,2,0.88,6.0,1.0,0.0,11.3,yellow,Times Sq/Theatre District,Clinton West,Manhattan,Manhattan,0,0.02,1.24,0.0
5820,2019-03-05 22:31:48,2019-03-05 23:08:53,2,14.67,43.0,0.0,0.0,44.3,green,Bushwick South,Rosedale,Brooklyn,Queens,0,7.03,2.1,0.0
4975,2019-03-08 12:25:11,2019-03-08 12:31:11,3,0.86,6.0,0.0,0.0,9.3,yellow,Lenox Hill East,Sutton Place/Turtle Bay North,Manhattan,Manhattan,1,90.63,93.09,93.78
1645,2019-03-07 17:43:27,2019-03-07 18:16:20,2,4.8,21.5,5.16,0.0,30.96,yellow,Midtown Center,Astoria,Manhattan,Queens,0,0.12,1.25,0.0
2274,2019-03-28 08:19:46,2019-03-28 08:43:39,1,3.8,17.5,0.0,0.0,20.8,yellow,Meatpacking/West Village West,Central Park,Manhattan,Manhattan,1,80.94,86.46,93.1
5400,2019-03-29 05:54:10,2019-03-29 05:58:41,1,0.7,5.0,0.0,0.0,8.8,yellow,East Village,Alphabet City,Manhattan,Manhattan,1,92.39,93.91,93.78
6295,2019-03-27 10:02:50,2019-03-27 10:25:44,1,8.74,23.53,0.0,0.0,24.03,green,Woodlawn/Wakefield,Hunts Point,Bronx,Bronx,0,9.09,2.46,4.76
5619,2019-03-03 14:00:29,2019-03-03 14:16:12,1,2.95,12.5,0.0,0.0,13.3,green,Brooklyn Heights,Bedford,Brooklyn,Brooklyn,1,78.48,84.08,93.1
5258,2019-03-15 18:35:11,2019-03-15 18:42:10,2,1.57,7.5,2.36,0.0,14.16,yellow,Central Park,Upper West Side South,Manhattan,Manhattan,0,0.01,1.24,0.0
3614,2019-03-20 23:17:59,2019-03-20 23:38:08,1,5.81,21.0,4.96,0.0,29.76,yellow,Little Italy/NoLiTa,West Chelsea/Hudson Yards,Manhattan,Manhattan,0,0.04,1.24,0.0
570,2019-03-06 17:11:20,2019-03-06 17:42:51,1,4.2,22.0,2.0,0.0,28.3,yellow,TriBeCa/Civic Center,Murray Hill,Manhattan,Manhattan,0,0.03,1.24,0.0
6355,2019-03-16 13:24:04,2019-03-16 13:24:13,1,0.0,2.5,0.0,0.0,3.3,green,Astoria,Astoria,Queens,Queens,1,94.95,94.95,96.77
5475,2019-03-12 16:02:07,2019-03-12 16:16:57,1,1.83,11.5,0.0,0.0,13.3,green,Kew Gardens,Forest Hills,Queens,Queens,1,70.86,74.59,75.0
5101,2019-03-19 13:49:37,2019-03-19 13:55:43,1,0.86,5.5,1.76,0.0,10.56,yellow,Yorkville East,Lenox Hill West,Manhattan,Manhattan,0,0.01,1.24,0.0
2211,2019-03-20 08:43:22,2019-03-20 09:22:17,1,4.7,26.0,4.0,0.0,33.3,yellow,Sunnyside,Midtown South,Queens,Manhattan,0,0.34,1.27,0.0
4996,2019-03-07 07:14:52,2019-03-07 07:49:33,1,10.9,35.0,11.45,0.0,49.75,yellow,Jackson Heights,TriBeCa/Civic Center,Queens,Manhattan,0,0.35,1.27,0.0
759,2019-03-05 14:01:16,2019-03-05 14:15:19,1,2.0,10.5,3.45,0.0,17.25,yellow,Penn Station/Madison Sq West,Greenwich Village South,Manhattan,Manhattan,0,0.01,1.24,0.0
3470,2019-03-08 17:13:58,2019-03-08 17:30:19,1,1.0,10.5,3.7,0.0,18.5,yellow,Union Sq,Murray Hill,Manhattan,Manhattan,0,0.02,1.24,0.0
2657,2019-03-06 13:37:20,2019-03-06 14:00:02,4,1.55,14.0,4.0,0.0,21.3,yellow,UN/Turtle Bay South,Penn Station/Madison Sq West,Manhattan,Manhattan,0,0.03,1.24,0.0
410,2019-03-07 09:07:26,2019-03-07 09:22:20,1,1.39,10.5,1.0,0.0,14.8,yellow,Upper West Side South,Central Park,Manhattan,Manhattan,0,0.01,1.24,0.0
5654,2019-03-30 22:13:58,2019-03-30 22:47:41,1,18.89,44.2,0.0,5.76,50.46,green,Douglaston,Spuyten Duyvil/Kingsbridge,Queens,Bronx,0,4.63,1.76,0.0
327,2019-03-24 08:12:47,2019-03-24 08:23:19,1,3.17,11.0,2.86,0.0,17.16,yellow,Sutton Place/Turtle Bay North,Union Sq,Manhattan,Manhattan,0,0.01,1.24,0.0
5460,2019-03-30 03:38:08,2019-03-30 03:38:50,1,0.07,2.5,0.0,0.0,3.8,green,East Concourse/Concourse Village,East Concourse/Concourse Village,Bronx,Bronx,1,75.06,80.23,80.0
2127,2019-03-17 18:50:45,2019-03-17 18:54:07,3,0.8,4.5,0.0,0.0,7.8,yellow,Yorkville East,Upper East Side North,Manhattan,Manhattan,1,90.81,93.17,93.78
292,2019-03-10 17:32:43,2019-03-10 17:51:17,1,2.9,15.0,3.65,0.0,21.95,yellow,Midtown North,Long Island City/Hunters Point,Manhattan,Queens,0,0.06,1.24,0.0
1034,2019-03-25 05:39:13,2019-03-25 05:46:41,1,1.5,7.5,2.8,0.0,14.1,yellow,Central Park,Lenox Hill East,Manhattan,Manhattan,0,0.01,1.24,0.0
3457,2019-03-06 08:50:57,2019-03-06 08:58:19,2,0.68,6.0,0.0,0.0,9.3,yellow,Murray Hill,Midtown Center,Manhattan,Manhattan,1,93.45,94.36,96.77
4836,2019-03-23 08:57:18,2019-03-23 08:57:22,1,0.02,2.5,0.0,0.0,3.3,yellow,Sutton Place/Turtle Bay North,Sutton Place/Turtle Bay North,Manhattan,Manhattan,1,93.32,94.31,96.77
3875,2019-03-30 17:07:48,2019-03-30 18:10:46,6,28.15,52.0,12.46,9.5,74.76,yellow,Financial District North,JFK Airport,Manhattan,Queens,0,0.34,1.27,0.0
2949,2019-03-20 15:10:47,2019-03-20 16:06:20,1,15.58,52.0,11.06,0.0,66.36,yellow,Midtown East,JFK Airport,Manhattan,Queens,0,0.12,1.25,0.0
1872,2019-03-01 20:38:37,2019-03-01 20:48:28,1,1.43,8.0,2.36,0.0,14.16,yellow,TriBeCa/Civic Center,Chinatown,Manhattan,Manhattan,0,0.04,1.24,0.0
1406,2019-03-17 21:00:25,2019-03-17 21:43:21,1,18.2,52.0,0.0,5.76,61.06,yellow,JFK Airport,East Village,Queens,Manhattan,1,85.97,90.39,93.78
824,2019-03-10 10:15:12,2019-03-10 10:21:50,2,1.42,7.0,2.58,0.0,12.88,yellow,Upper East Side South,Murray Hill,Manhattan,Manhattan,0,0.02,1.24,0.0
2201,2019-03-18 21:16:42,2019-03-18 21:27:49,1,3.0,11.5,3.06,0.0,18.36,yellow,Clinton East,Upper East Side North,Manhattan,Manhattan,0,0.02,1.24,0.0
3047,2019-03-04 15:59:58,2019-03-04 16:10:45,1,1.6,9.0,2.66,0.0,15.96,yellow,Lenox Hill West,Midtown Center,Manhattan,Manhattan,0,0.01,1.24,0.0
5103,2019-03-12 17:15:40,2019-03-12 17:34:24,3,2.09,13.0,3.46,0.0,20.76,yellow,Yorkville West,Upper East Side South,Manhattan,Manhattan,0,0.02,1.24,0.0
373,2019-03-19 12:40:08,2019-03-19 13:03:40,1,3.59,17.0,1.0,0.0,21.3,yellow,Flatiron,World Trade Center,Manhattan,Manhattan,0,0.04,1.24,0.0
4102,2019-03-22 11:25:18,2019-03-22 11:52:56,1,2.93,18.0,0.0,0.0,21.3,yellow,Greenwich Village South,Midtown North,Manhattan,Manhattan,1,84.07,89.04,93.78
2515,2019-03-31 10:45:21,2019-03-31 10:49:58,1,1.32,6.0,1.86,0.0,11.16,yellow,Upper West Side South,Manhattan Valley,Manhattan,Manhattan,0,0.01,1.24,0.0
1475,2019-03-05 11:05:00,2019-03-05 11:23:06,1,2.08,12.0,0.0,0.0,15.3,yellow,Union Sq,UN/Turtle Bay South,Manhattan,Manhattan,1,93.63,94.43,96.77
4859,2019-03-19 06:20:22,2019-03-19 06:24:58,1,1.8,7.0,2.5,0.0,12.8,yellow,Upper East Side North,Midtown North,Manhattan,Manhattan,0,0.01,1.24,0.0
1441,2019-03-12 15:18:37,2019-03-12 15:36:49,2,2.55,13.5,0.0,0.0,16.8,yellow,Lincoln Square West,East Harlem South,Manhattan,Manhattan,1,92.47,93.95,93.78
2414,2019-03-30 14:46:37,2019-03-30 14:54:11,1,1.4,7.5,3.2,0.0,14.0,yellow,Upper East Side North,Midtown East,Manhattan,Manhattan,0,0.01,1.24,0.0
2832,2019-03-12 06:23:25,2019-03-12 06:28:55,1,1.2,6.0,1.85,0.0,11.15,yellow,East Village,Union Sq,Manhattan,Manhattan,0,0.01,1.24,0.0
5215,2019-03-12 12:23:49,2019-03-12 12:28:34,1,0.58,5.0,0.0,0.0,5.8,yellow,Upper West Side South,Upper West Side South,Manhattan,Manhattan,1,91.66,93.58,93.78
2679,2019-03-24 19:17:44,2019-03-24 19:27:28,5,1.25,8.0,0.0,0.0,11.3,yellow,Seaport,Lower East Side,Manhattan,Manhattan,1,93.4,94.34,96.77
1897,2019-03-14 08:56:11,2019-03-14 09:09:08,1,1.68,10.0,0.0,0.0,13.3,yellow,Upper West Side South,Upper East Side North,Manhattan,Manhattan,1,92.9,94.13,93.78
5927,2019-03-27 12:11:52,2019-03-27 12:22:20,1,1.1,8.0,0.0,0.0,11.55,green,Central Park,Upper East Side North,Manhattan,Manhattan,1,90.5,93.02,93.78
2191,2019-03-25 16:04:47,2019-03-25 16:48:51,1,13.11,52.0,13.11,5.76,78.67,yellow,South Jamaica,Flushing Meadows-Corona Park,Queens,Queens,0,1.1,1.34,0.0
1772,2019-03-30 11:00:02,2019-03-30 11:10:11,6,2.89,11.0,5.0,0.0,19.3,yellow,Long Island City/Queens Plaza,UN/Turtle Bay South,Queens,Manhattan,0,2.62,1.51,0.0
4591,2019-03-11 21:08:25,2019-03-11 21:14:23,2,0.9,6.0,2.94,0.0,12.74,yellow,Midtown East,Murray Hill,Manhattan,Manhattan,0,0.02,1.24,0.0
5706,2019-03-27 07:58:10,2019-03-27 08:11:07,1,1.96,10.5,2.82,0.0,14.12,green,East Harlem North,Central Harlem North,Manhattan,Manhattan,0,0.06,1.24,0.0
2772,2019-03-22 19:38:40,2019-03-22 19:56:26,1,3.1,14.5,4.7,0.0,23.5,yellow,Penn Station/Madison Sq West,TriBeCa/Civic Center,Manhattan,Manhattan,0,0.03,1.24,0.0
2215,2019-03-05 22:25:07,2019-03-05 22:34:33,1,1.27,8.0,2.36,0.0,14.16,yellow,Lincoln Square East,Upper West Side South,Manhattan,Manhattan,0,0.01,1.24,0.0
2294,2019-03-26 11:49:02,2019-03-26 11:56:37,1,1.2,7.5,1.2,0.0,12.0,yellow,Lincoln Square East,Central Park,Manhattan,Manhattan,0,0.02,1.24,0.0
5713,2019-03-29 22:41:06,2019-03-29 22:45:28,1,0.6,5.0,0.7,0.0,7.0,green,Clinton Hill,Prospect Heights,Brooklyn,Brooklyn,0,1.72,1.41,0.0
124,2019-03-04 13:06:09,2019-03-04 13:16:31,1,1.79,9.5,1.0,0.0,13.8,yellow,Midtown Center,Upper East Side North,Manhattan,Manhattan,0,0.01,1.24,0.0
1743,2019-03-07 16:44:20,2019-03-07 17:01:57,1,1.4,11.5,1.2,0.0,17.0,yellow,Midtown Center,Clinton West,Manhattan,Manhattan,0,0.01,1.24,0.0
3185,2019-03-07 12:18:05,2019-03-07 12:37:01,4,2.9,14.0,3.45,0.0,20.75,yellow,Yorkville East,Murray Hill,Manhattan,Manhattan,0,0.03,1.24,0.0
1364,2019-03-07 22:44:44,2019-03-07 22:51:50,1,1.8,8.0,2.36,0.0,14.16,yellow,Upper West Side South,Morningside Heights,Manhattan,Manhattan,0,0.01,1.24,0.0
1859,2019-03-14 18:33:07,2019-03-14 18:40:50,1,0.91,6.0,2.58,0.0,12.88,yellow,Lincoln Square West,Lincoln Square East,Manhattan,Manhattan,0,0.01,1.24,0.0
4330,2019-03-16 11:32:13,2019-03-16 11:41:04,1,1.5,8.0,1.7,0.0,13.0,yellow,Midtown South,Midtown North,Manhattan,Manhattan,0,0.01,1.24,0.0
1341,2019-03-09 19:43:50,2019-03-09 20:46:12,1,7.06,39.0,4.0,0.0,46.3,yellow,Williamsburg (South Side),Clinton West,Brooklyn,Manhattan,0,0.82,1.31,0.0
3193,2019-03-06 15:53:53,2019-03-06 16:17:58,1,2.9,16.5,2.97,0.0,22.77,yellow,Upper West Side South,UN/Turtle Bay South,Manhattan,Manhattan,0,0.01,1.24,0.0
5801,2019-03-06 08:11:22,2019-03-06 08:23:47,1,1.3,10.0,0.0,0.0,11.3,green,East Harlem South,Upper West Side North,Manhattan,Manhattan,1,88.25,91.81,93.78
441,2019-03-25 22:38:58,2019-03-25 22:43:42,2,0.81,5.5,0.0,0.0,9.3,yellow,Clinton East,Midtown North,Manhattan,Manhattan,1,93.86,94.53,96.77
3587,2019-03-04 09:09:57,2019-03-04 09:20:02,1,1.43,8.5,2.95,0.0,14.75,yellow,Upper West Side North,Morningside Heights,Manhattan,Manhattan,0,0.01,1.24,0.0
3392,2019-03-07 17:52:51,2019-03-07 17:57:14,1,0.8,5.5,1.96,0.0,11.76,yellow,Manhattan Valley,Upper West Side North,Manhattan,Manhattan,0,0.01,1.24,0.0
1922,2019-03-06 11:37:39,2019-03-06 12:01:53,1,7.08,25.5,3.0,0.0,31.8,yellow,Midtown North,Washington Heights South,Manhattan,Manhattan,0,0.04,1.24,0.0
1162,2019-03-24 14:16:54,2019-03-24 14:23:09,1,0.7,5.5,0.0,0.0,8.8,yellow,Clinton East,Penn Station/Madison Sq West,Manhattan,Manhattan,1,94.77,94.88,96.77
5605,2019-03-10 11:41:16,2019-03-10 11:43:23,1,0.38,3.5,0.0,0.0,4.3,green,East Harlem North,East Harlem South,Manhattan,Manhattan,1,85.9,90.34,93.78
5347,2019-03-23 02:16:39,2019-03-23 02:32:46,1,3.75,14.5,3.66,0.0,21.96,yellow,Meatpacking/West Village West,Sutton Place/Turtle Bay North,Manhattan,Manhattan,0,0.01,1.24,0.0
2049,2019-03-25 10:40:03,2019-03-25 10:51:38,1,1.54,9.0,3.08,0.0,15.38,yellow,SoHo,Meatpacking/West Village West,Manhattan,Manhattan,0,0.01,1.24,0.0
1676,2019-03-17 09:35:26,2019-03-17 09:38:43,1,0.65,4.5,1.56,0.0,9.36,yellow,Lincoln Square West,Lincoln Square East,Manhattan,Manhattan,0,0.01,1.24,0.0
6258,2019-03-03 01:48:25,2019-03-03 02:22:32,1,9.6,33.0,0.0,0.0,34.3,green,Kew Gardens Hills,Crown Heights North,Queens,Brooklyn,0,9.68,2.57,4.76
3148,2019-03-20 18:00:57,2019-03-20 18:06:41,1,1.13,6.5,0.0,0.0,10.8,yellow,Upper West Side North,Lincoln Square East,Manhattan,Manhattan,1,92.42,93.93,93.78
3696,2019-03-30 16:16:21,2019-03-30 16:27:35,1,3.09,11.5,3.08,0.0,15.38,yellow,Queensbridge/Ravenswood,Roosevelt Island,Queens,Manhattan,0,0.6,1.29,0.0
2289,2019-03-26 23:29:13,2019-03-26 23:37:43,1,1.41,7.5,2.26,0.0,13.56,yellow,Times Sq/Theatre District,West Chelsea/Hudson Yards,Manhattan,Manhattan,0,0.01,1.24,0.0
1239,2019-03-28 14:56:54,2019-03-28 15:07:03,1,1.3,8.0,2.26,0.0,13.56,yellow,UN/Turtle Bay South,Gramercy,Manhattan,Manhattan,0,0.01,1.24,0.0
3065,2019-03-29 16:13:27,2019-03-29 16:29:15,2,2.1,11.5,3.15,0.0,18.95,yellow,Upper West Side South,Upper East Side South,Manhattan,Manhattan,0,0.02,1.24,0.0
5151,2019-03-22 17:04:20,2019-03-22 17:17:15,5,1.69,10.0,4.29,0.0,18.59,yellow,Greenwich Village South,Stuy Town/Peter Cooper Village,Manhattan,Manhattan,0,0.04,1.24,0.0
281,2019-03-25 12:44:45,2019-03-25 12:57:31,1,1.7,10.0,2.65,0.0,15.95,yellow,Murray Hill,Greenwich Village North,Manhattan,Manhattan,0,0.01,1.24,0.0
3501,2019-03-17 15:43:21,2019-03-17 15:51:42,1,1.67,8.0,2.26,0.0,13.56,yellow,Central Park,Sutton Place/Turtle Bay North,Manhattan,Manhattan,0,0.01,1.24,0.0
1602,2019-03-14 22:01:15,2019-03-14 22:10:35,1,1.28,7.5,2.26,0.0,13.56,yellow,Central Park,Central Park,Manhattan,Manhattan,0,0.01,1.24,0.0
2374,2019-03-05 10:36:53,2019-03-05 10:55:23,2,2.4,13.0,0.0,0.0,16.3,yellow,Yorkville West,Lincoln Square East,Manhattan,Manhattan,1,92.78,94.08,93.78
921,2019-03-30 17:58:22,2019-03-30 18:03:05,2,0.6,5.0,0.83,0.0,9.13,yellow,Gramercy,Gramercy,Manhattan,Manhattan,0,0.04,1.24,0.0
5549,2019-03-19 07:36:07,2019-03-19 08:15:52,1,12.69,34.86,0.0,2.64,38.0,green,Riverdale/North Riverdale/Fieldston,Lenox Hill West,Bronx,Manhattan,0,2.41,1.48,0.0
5189,2019-03-25 09:53:53,2019-03-25 10:07:37,1,1.14,9.5,2.56,0.0,15.36,yellow,Midtown Center,Penn Station/Madison Sq West,Manhattan,Manhattan,0,0.01,1.24,0.0
4265,2019-03-14 00:11:31,2019-03-14 00:21:04,6,2.02,9.0,2.06,0.0,12.36,yellow,Old Astoria,Long Island City/Hunters Point,Queens,Queens,0,0.87,1.32,0.0
1498,2019-03-05 01:55:43,2019-03-05 01:59:35,5,1.45,6.0,2.94,0.0,12.74,yellow,Midtown East,Kips Bay,Manhattan,Manhattan,0,0.03,1.24,0.0
5285,2019-03-17 10:20:01,2019-03-17 10:26:57,1,0.89,6.5,1.15,0.0,10.95,yellow,Yorkville West,Upper East Side North,Manhattan,Manhattan,0,0.01,1.24,0.0
4994,2019-03-10 11:10:41,2019-03-10 11:16:27,6,0.8,5.5,0.0,0.0,8.8,yellow,Chinatown,Two Bridges/Seward Park,Manhattan,Manhattan,1,93.18,94.25,93.78
1900,2019-03-18 00:47:47,2019-03-18 00:54:33,1,1.29,7.0,0.0,0.0,8.3,yellow,Manhattanville,Central Harlem,Manhattan,Manhattan,1,85.81,90.28,93.78
1994,2019-03-08 19:25:01,2019-03-08 19:49:26,1,3.9,17.0,5.3,0.0,26.6,yellow,Midtown East,TriBeCa/Civic Center,Manhattan,Manhattan,0,0.02,1.24,0.0
4104,2019-03-16 13:02:28,2019-03-16 13:11:38,1,0.8,7.0,2.06,0.0,12.36,yellow,Lincoln Square West,Clinton West,Manhattan,Manhattan,0,0.01,1.24,0.0
5855,2019-03-28 19:49:53,2019-03-28 20:12:08,1,7.44,24.5,5.26,0.0,31.56,green,East Harlem South,Inwood,Manhattan,Manhattan,0,0.26,1.26,0.0
5974,2019-03-05 22:25:09,2019-03-05 22:30:45,1,0.63,5.5,0.01,0.0,6.81,green,Elmhurst,Corona,Queens,Queens,1,75.08,80.25,80.0
3989,2019-03-30 17:16:54,2019-03-30 17:34:07,1,1.82,12.0,0.0,0.0,15.3,yellow,Greenwich Village North,Kips Bay,Manhattan,Manhattan,1,89.03,92.25,93.78
1745,2019-03-12 14:20:34,2019-03-12 14:30:56,1,1.6,9.0,2.45,0.0,14.75,yellow,Lincoln Square East,Upper West Side North,Manhattan,Manhattan,0,0.01,1.24,0.0
582,2019-03-15 09:40:55,2019-03-15 10:07:14,1,1.86,16.0,1.25,0.0,20.55,yellow,Flatiron,Midtown Center,Manhattan,Manhattan,0,0.01,1.24,0.0
3836,2019-03-12 20:30:27,2019-03-12 20:34:46,1,1.21,6.0,1.47,0.0,11.27,yellow,Midtown East,Gramercy,Manhattan,Manhattan,0,0.02,1.24,0.0
1530,2019-03-04 21:32:15,2019-03-04 21:59:13,3,9.29,29.5,5.0,5.76,44.06,yellow,LaGuardia Airport,Upper West Side South,Queens,Manhattan,0,0.09,1.24,0.0
3053,2019-03-21 23:14:00,2019-03-21 23:34:24,1,7.03,23.0,4.86,0.0,29.16,yellow,LaGuardia Airport,Williamsburg (North Side),Queens,Brooklyn,0,0.12,1.25,0.0
998,2019-03-27 22:24:45,2019-03-27 22:40:25,1,5.15,16.5,4.06,0.0,24.36,yellow,Midtown Center,Central Harlem North,Manhattan,Manhattan,0,0.03,1.24,0.0
4479,2019-03-13 20:08:04,2019-03-13 20:12:48,3,0.9,5.5,0.0,0.0,9.3,yellow,Lenox Hill West,Yorkville West,Manhattan,Manhattan,1,92.94,94.15,93.78
5865,2019-03-28 15:55:12,2019-03-28 16:46:59,1,4.88,31.5,0.0,0.0,32.3,green,Fort Greene,Brownsville,Brooklyn,Brooklyn,0,37.0,17.79,9.09
4066,2019-03-01 22:57:44,2019-03-01 23:09:06,2,0.99,7.5,2.82,0.0,14.12,yellow,Clinton East,Garment District,Manhattan,Manhattan,0,0.02,1.24,0.0
3464,2019-03-10 22:49:34,2019-03-10 22:55:39,1,1.0,6.0,3.0,0.0,12.8,yellow,Midtown North,Midtown Center,Manhattan,Manhattan,0,0.01,1.24,0.0
2204,2019-03-30 22:31:47,2019-03-30 23:01:47,1,4.66,21.5,5.06,0.0,30.36,yellow,East Chelsea,Yorkville East,Manhattan,Manhattan,0,0.04,1.24,0.0
4368,2019-03-08 20:58:31,2019-03-08 21:43:08,1,11.24,38.5,9.61,5.76,57.67,yellow,Meatpacking/West Village West,Dyker Heights,Manhattan,Brooklyn,0,0.15,1.25,0.0
1925,2019-03-13 14:08:48,2019-03-13 14:24:50,1,1.7,11.5,1.0,0.0,15.8,yellow,Union Sq,West Chelsea/Hudson Yards,Manhattan,Manhattan,0,0.01,1.24,0.0
323,2019-03-19 09:38:21,2019-03-19 09:58:34,5,3.27,15.0,0.92,0.0,19.22,yellow,Kips Bay,East Chelsea,Manhattan,Manhattan,0,0.08,1.24,0.0
3719,2019-03-23 16:54:39,2019-03-23 17:04:26,1,0.85,7.5,2.16,0.0,12.96,yellow,Upper East Side South,Midtown North,Manhattan,Manhattan,0,0.01,1.24,0.0
2131,2019-03-07 12:01:18,2019-03-07 12:12:26,1,2.6,11.0,2.0,0.0,16.3,yellow,Battery Park City,East Chelsea,Manhattan,Manhattan,0,0.02,1.24,0.0
4704,2019-03-23 09:51:54,2019-03-23 09:59:43,5,1.08,7.0,2.06,0.0,12.36,yellow,Lenox Hill West,Midtown North,Manhattan,Manhattan,0,0.02,1.24,0.0
3404,2019-03-12 09:25:47,2019-03-12 09:34:32,1,0.91,7.0,0.0,0.0,10.3,yellow,Times Sq/Theatre District,Midtown North,Manhattan,Manhattan,1,94.61,94.82,96.77
2795,2019-03-05 21:34:02,2019-03-05 21:47:17,1,1.7,10.0,2.75,0.0,16.55,yellow,Upper East Side South,Garment District,Manhattan,Manhattan,0,0.02,1.24,0.0
3196,2019-03-29 23:15:57,2019-03-29 23:41:49,1,7.0,25.5,5.85,0.0,35.15,yellow,Lenox Hill East,Williamsburg (South Side),Manhattan,Brooklyn,0,0.06,1.24,0.0
4751,2019-03-22 22:05:42,2019-03-22 22:11:25,1,0.88,5.0,1.76,0.0,10.56,yellow,Greenwich Village North,Flatiron,Manhattan,Manhattan,0,0.01,1.24,0.0
3675,2019-03-04 18:31:12,2019-03-04 18:43:37,1,1.35,9.5,2.76,0.0,16.56,yellow,Midtown East,Garment District,Manhattan,Manhattan,0,0.02,1.24,0.0
4573,2019-03-15 23:32:19,2019-03-15 23:42:56,1,1.34,8.5,0.0,0.0,12.3,yellow,Times Sq/Theatre District,Murray Hill,Manhattan,Manhattan,1,95.32,95.08,100.0
4157,2019-03-16 02:20:47,2019-03-16 02:28:05,2,1.5,7.5,3.39,0.0,14.69,yellow,Greenwich Village South,Financial District North,Manhattan,Manhattan,0,0.02,1.24,0.0
2348,2019-03-19 10:18:15,2019-03-19 10:28:09,1,1.07,7.5,2.16,0.0,12.96,yellow,Times Sq/Theatre District,Murray Hill,Manhattan,Manhattan,0,0.01,1.24,0.0
6024,2019-03-16 19:02:18,2019-03-16 19:32:39,1,4.46,18.86,0.0,0.0,19.36,green,Brooklyn Heights,Crown Heights North,Brooklyn,Brooklyn,1,71.53,75.56,75.0
2553,2019-03-27 18:16:51,2019-03-27 18:21:01,1,1.2,6.0,1.7,0.0,12.0,yellow,Yorkville West,East Harlem South,Manhattan,Manhattan,0,0.01,1.24,0.0
5156,2019-03-19 09:27:32,2019-03-19 09:36:32,1,1.7,8.5,0.0,0.0,11.8,yellow,Lincoln Square East,Central Park,Manhattan,Manhattan,1,94.24,94.68,96.77
247,2019-03-07 18:49:41,2019-03-07 19:07:05,1,2.75,13.0,3.46,0.0,20.76,yellow,Yorkville West,Lincoln Square East,Manhattan,Manhattan,0,0.01,1.24,0.0
422,2019-03-01 18:33:04,2019-03-01 18:39:32,2,0.8,6.0,2.05,0.0,12.35,yellow,Clinton West,Garment District,Manhattan,Manhattan,0,0.03,1.24,0.0
4475,2019-03-06 18:04:10,2019-03-06 18:21:41,2,1.77,12.0,3.26,0.0,19.56,yellow,Murray Hill,West Village,Manhattan,Manhattan,0,0.02,1.24,0.0
558,2019-03-27 18:12:36,2019-03-27 18:21:23,1,2.16,9.0,2.66,0.0,15.96,yellow,East Chelsea,Clinton West,Manhattan,Manhattan,0,0.01,1.24,0.0
375,2019-03-27 21:02:16,2019-03-27 21:07:33,2,1.3,6.5,2.05,0.0,12.35,yellow,Union Sq,Garment District,Manhattan,Manhattan,0,0.02,1.24,0.0
4932,2019-03-30 17:41:36,2019-03-30 18:10:13,1,5.31,22.0,5.06,0.0,30.36,yellow,Upper East Side North,Penn Station/Madison Sq West,Manhattan,Manhattan,0,0.05,1.24,0.0
748,2019-03-03 22:59:34,2019-03-03 23:00:39,2,0.44,3.5,1.46,0.0,8.76,yellow,Midtown South,Union Sq,Manhattan,Manhattan,0,0.01,1.24,0.0
4408,2019-03-07 11:35:16,2019-03-07 11:38:32,6,0.6,4.5,1.56,0.0,9.36,yellow,Lincoln Square West,Lincoln Square West,Manhattan,Manhattan,0,0.02,1.24,0.0
3456,2019-03-18 20:46:24,2019-03-18 21:08:02,6,5.13,19.5,5.82,0.0,29.12,yellow,Greenwich Village North,Upper West Side South,Manhattan,Manhattan,0,0.06,1.24,0.0
6185,2019-03-16 01:45:46,2019-03-16 01:47:52,1,0.51,4.0,0.0,0.0,5.3,green,Central Harlem,East Harlem North,Manhattan,Manhattan,1,84.82,89.59,93.78
3237,2019-03-30 23:13:30,2019-03-30 23:33:39,2,2.39,14.0,0.0,0.0,17.8,yellow,SoHo,Murray Hill,Manhattan,Manhattan,1,89.47,92.49,93.78
1770,2019-03-01 23:34:51,2019-03-01 23:39:12,2,1.26,6.0,0.0,0.0,9.8,yellow,Garment District,Central Park,Manhattan,Manhattan,1,93.5,94.38,96.77
4825,2019-03-22 08:43:39,2019-03-22 08:51:49,1,0.55,6.5,1.96,0.0,11.76,yellow,Union Sq,Murray Hill,Manhattan,Manhattan,0,0.01,1.24,0.0
4857,2019-03-20 10:41:51,2019-03-20 10:48:53,5,0.68,6.0,0.0,0.0,9.3,yellow,Union Sq,Penn Station/Madison Sq West,Manhattan,Manhattan,1,95.48,95.14,100.0
4055,2019-03-05 23:16:26,2019-03-05 23:21:52,1,0.89,6.0,1.96,0.0,11.76,yellow,Greenwich Village South,Lower East Side,Manhattan,Manhattan,0,0.01,1.24,0.0
2782,2019-03-29 21:44:25,2019-03-29 21:52:11,1,1.1,7.0,2.0,0.0,12.8,yellow,Greenwich Village North,Gramercy,Manhattan,Manhattan,0,0.01,1.24,0.0
